category_label,date,abbrev_state,area_privativa,area_total,dormitorio_1,dormitorio_2,dormitorio_3,dormitorio_4,garantia_alienacao,garantia_hipoteca,implantacao_condominio,implantacao_isolado,tipo_apartamento,tipo_casa,valor_avaliacao,valor_compra
units,2018-01-31,AC,121.52,125.76,,5,9,,14,,5,9,10,4,216000,190000
units,2018-01-31,AL,58.26,78.74,8,436,123,18,577,8,135,450,105,480,99900,99900
units,2018-01-31,AM,67,121.48,22,180,107,7,179,137,142,174,23,293,235000,238712.67
units,2018-01-31,AP,100.8,105,2,14,13,1,28,2,10,20,16,14,262000,242500
units,2018-01-31,BA,55.15,64.38,86,1237,320,69,1579,133,712,1000,388,1324,138100,135154.17
units,2018-01-31,BR,59.96,74.37,6517,33363,9596,1198,45808,4866,19784,30890,16216,34458,163009.55,160000
units,2018-01-31,CE,78,85.72,34,637,422,59,979,173,413,739,487,665,153432,154043
units,2018-01-31,DF,67.16,109.5,117,234,116,47,443,71,225,289,56,458,285000,283250
units,2018-01-31,ES,65.99,87.73,60,278,113,26,445,32,184,293,112,365,190000,190000
units,2018-01-31,GO,69.55,79.91,134,2376,701,88,2945,354,1103,2196,1316,1983,142400,140821
units,2018-01-31,MA,56.06,59.59,26,548,143,15,669,63,322,410,220,512,126470.32,123000
units,2018-01-31,MG,59.69,69.52,643,4167,1131,133,5814,260,2475,3599,2301,3773,150000,145802.73
units,2018-01-31,MS,56.86,60.01,49,621,147,12,766,63,209,620,355,474,137100,135000
units,2018-01-31,MT,59.5,63.31,49,562,193,22,697,129,297,529,389,437,145000,144316
units,2018-01-31,PA,64.61,78.1,33,292,82,3,374,36,133,277,141,269,147111.35,144900
units,2018-01-31,PB,59,76.5,34,883,255,25,1162,35,672,525,291,906,136000,132000
units,2018-01-31,PE,53.14,64.82,57,907,368,40,1183,189,639,733,280,1092,139800,140000
units,2018-01-31,PI,64.43,68.1500000000001,1,331,159,22,499,14,135,378,303,210,121000,114600
units,2018-01-31,PR,56.44,63.34,358,2644,1000,67,3710,359,1512,2557,1306,2763,155000,150000
units,2018-01-31,RJ,59.39,72.19,496,1734,257,65,2279,273,1288,1264,330,2222,215000,209500
units,2018-01-31,RN,66.06,71.12,62,972,110,8,1133,19,416,736,585,567,120000,115000
units,2018-01-31,RO,68.56,70,10,190,52,4,241,15,70,186,196,60,130000,130000
units,2018-01-31,RR,63,63,5,44,12,,61,,4,57,55,6,155000,149291.41
units,2018-01-31,RS,58.19,73.22,746,2413,654,78,3602,289,1344,2547,1512,2379,168000,161700
units,2018-01-31,SC,61.66,69.07,197,1903,426,32,2357,201,929,1629,733,1825,160000,158000
units,2018-01-31,SE,64.97,71.91,12,319,207,9,525,22,231,316,216,331,130000,130000
units,2018-01-31,SP,56.76,89.4,3270,9237,2432,342,13315,1966,6113,9168,4348,10933,210000,2e+05
units,2018-01-31,TO,67.87,87.44,6,199,44,6,232,23,66,189,142,113,138740.93,130000
units,2018-02-28,AC,56.84,59.94,,16,3,1,20,,,20,9,11,158000,155000
