code,name,unit,frequency,first_value,last_value,source
189,General Price Index-Market (IGP-M),Monthly % var.,M,1989-06-30,2023-02-01 00:00:00,FGV
190,General Price Index-Domestic Supply (IGP-DI),Monthly % var.,M,1944-02-29,2023-02-01 00:00:00,FGV
192,National Index of Building Costs (INCC),Monthly % var.,M,1944-02-29,2023-02-01 00:00:00,FGV
432,Interest rate - Selic target,% p.y.,D,1999-03-05,2023-05-03 00:00:00,Copom
433,Broad National Consumer Price Index (IPCA),Monthly % var.,M,1980-01-02,2023-02-01 00:00:00,IBGE
606,Credit operations with nonearmarked funds (preset rate) - Grantings - Real estate financing-legal entities,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
619,Credit operations with nonearmarked funds (postset rate) - Grantings - Real estate financing-legal entities,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
632,Credit operations with nonearmarked funds (floating rate) - Grantings - Real estate financing-legal entities,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
645,Credit operations with nonearmarked funds (based on price index rate) - Grantings - Real estate financing-legal entities,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
918,Credit operations with nonearmarked funds (preset rate) - Grantings - Real estate financing-individuals,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
931,Credit operations with nonearmarked funds (postset rate) - Grantings - Real estate financing-individuals,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
944,Credit operations with nonearmarked funds (floating rate) - Grantings - Real estate financing-individuals,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
957,Credit operations with nonearmarked funds (based on price index rate) - Grantings - Real estate financing-individuals,c.m.u. (thousand),M,2000-05-31,2012-12-01 00:00:00,Sisbacen PESP300
1344,Installed capacity utilization - General (FGV),%,Q,1970-04-30,1º Quar. 2023,FGV
1346,Installed capacity utilization - Capital goods,%,Q,1970-04-30,4º Quar. 2015,FGV
1347,Installed capacity utilization - Building material,%,Q,1970-04-30,4º Quar. 2015,FGV
1355,Installed capacity utilization - Furniture,%,Q,1971-04-30,4º Quar. 2015,FGV
1402,Electric energy consumption - Brazil - commercial,GWh,M,1979-01-31,2023-01-01 00:00:00,Eletrobras
1403,Electric energy consumption - Brazil - residential,GWh,M,1979-01-31,2023-01-01 00:00:00,Eletrobras
1404,Electric energy consumption - Brazil - industrial,GWh,M,1979-01-31,2023-01-01 00:00:00,Eletrobras
1455,Sales volume index in the retail sector - Total - Brazil,Index,M,2000-01-31,2022-12-01 00:00:00,IBGE
1636,Broad national consumer price index (IPCA) - Housing,Monthly % var.,M,1991-01-31,2023-02-01 00:00:00,IBGE
1645,National consumer price index (INPC) - Housing,Monthly % var.,M,1991-01-31,2023-02-01 00:00:00,IBGE
2144,PSBR - Current monthly flows (c.m.u.) - Primary result - Total - Federal Government,c.m.u. (million),M,1999-01-01,2023-01-01 00:00:00,BCB-DSTAT
2147,PSBR - Current monthly flows (c.m.u.) - Primary result - Total - State governments,c.m.u. (million),M,1998-01-01,2023-01-01 00:00:00,BCB-DSTAT
2148,PSBR - Current monthly flows (c.m.u.) - Primary result - Total - Municipal governments,c.m.u. (million),M,1998-01-01,2023-01-01 00:00:00,BCB-DSTAT
3698,Exchange rate - Free - United States dollar (sale) - period average - 3698,c.m.u./US$,M,1953-01-31,2023-02-01 00:00:00,BCB-DSTAT
3986,Credit operations with nonearmarked funds - Consolidate grantings (accumulated in the month) - Real estate financing-legal entities,c.m.u. (thousand),M,2000-06-30,2012-12-01 00:00:00,BCB-DSTAT
4003,Net public debt - Balances in c.m.u. (million) - Total - Consolidated public sector,c.m.u. (million),M,2001-12-01,2023-01-01 00:00:00,BCB-DSTAT
4007,PSBR - Current monthly flows (c.m.u.) - Nominal result - Total - Federal Government,c.m.u. (million),M,1999-01-01,2023-01-01 00:00:00,BCB-DSTAT
4010,PSBR - Current monthly flows (c.m.u.) - Nominal result - Total - State governments,c.m.u. (million),M,1998-01-01,2023-01-01 00:00:00,BCB-DSTAT
4011,PSBR - Current monthly flows (c.m.u.) - Nominal result - Total - Municipal governments,c.m.u. (million),M,1998-01-01,2023-01-01 00:00:00,BCB-DSTAT
4016,PSBR - Current monthly flows (c.m.u.) - Nominal result - Total - Consolidated public sector,c.m.u. (million),M,2001-12-01,2023-01-01 00:00:00,BCB-DSTAT
4040,PSBR - Current monthly flows (c.m.u.) - Nominal interest - Total - Federal Government,c.m.u. (million),M,1999-01-01,2023-01-01 00:00:00,BCB-DSTAT
4043,PSBR - Current monthly flows (c.m.u.) - Nominal interest - Total - State governments,c.m.u. (million),M,1998-01-01,2023-01-01 00:00:00,BCB-DSTAT
4044,PSBR - Current monthly flows (c.m.u.) - Nominal interest - Total - Municipal governments,c.m.u. (million),M,1998-01-01,2023-01-01 00:00:00,BCB-DSTAT
4049,PSBR - Current monthly flows (c.m.u.) - Nominal interest - Total - Consolidated public sector,c.m.u. (million),M,2001-12-01,2023-01-01 00:00:00,BCB-DSTAT
4144,PSBR - Current monthly flows (c.m.u.) - Primary result - Total - Consolidated public sector,c.m.u. (million),M,2001-12-01,2023-01-01 00:00:00,BCB-DSTAT
4466,Broad national consumer price index - Smoothed trimmed mean Core IPCA,Monthly % var.,M,1996-01-31,2023-02-01 00:00:00,BCB-Depec
4504,Net public debt (% GDP) - Total - Federal Government,%,M,2001-12-31,2023-01-01 00:00:00,BCB-DSTAT
4507,Net public debt (% GDP) - Total - State governments,%,M,2001-12-31,2023-01-01 00:00:00,BCB-DSTAT
4508,Net public debt (% GDP) - Total - Municipal governments,%,M,2001-12-01,2023-01-01 00:00:00,BCB-DSTAT
4513,Net public debt (% GDP) - Total - Consolidated public sector,%,M,2001-12-01,2023-01-01 00:00:00,BCB-DSTAT
4536,Net general government debt (% GDP),%,M,2001-12-31,2023-01-01 00:00:00,BCB-DSTAT
4537,Gross general government debt (% GDP) - Method used until 2007,%,M,2001-12-31,2023-01-01 00:00:00,BCB-DSTAT
