code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region
1100015,Alta Floresta D'oeste,11,RO,Rondônia,1,Norte
1100023,Ariquemes,11,RO,Rondônia,1,Norte
1100031,Cabixi,11,RO,Rondônia,1,Norte
1100049,Cacoal,11,RO,Rondônia,1,Norte
1100056,Cerejeiras,11,RO,Rondônia,1,Norte
1100064,Colorado Do Oeste,11,RO,Rondônia,1,Norte
1100072,Corumbiara,11,RO,Rondônia,1,Norte
1100080,Costa Marques,11,RO,Rondônia,1,Norte
1100098,Espigão D'oeste,11,RO,Rondônia,1,Norte
1100106,Guajará-Mirim,11,RO,Rondônia,1,Norte
1100114,Jaru,11,RO,Rondônia,1,Norte
1100122,Ji-Paraná,11,RO,Rondônia,1,Norte
1100130,Machadinho D'oeste,11,RO,Rondônia,1,Norte
1100148,Nova Brasilândia D'oeste,11,RO,Rondônia,1,Norte
1100155,Ouro Preto Do Oeste,11,RO,Rondônia,1,Norte
1100189,Pimenta Bueno,11,RO,Rondônia,1,Norte
1100205,Porto Velho,11,RO,Rondônia,1,Norte
1100254,Presidente Médici,11,RO,Rondônia,1,Norte
1100262,Rio Crespo,11,RO,Rondônia,1,Norte
1100288,Rolim De Moura,11,RO,Rondônia,1,Norte
1100296,Santa Luzia D'oeste,11,RO,Rondônia,1,Norte
1100304,Vilhena,11,RO,Rondônia,1,Norte
1100320,São Miguel Do Guaporé,11,RO,Rondônia,1,Norte
1100338,Nova Mamoré,11,RO,Rondônia,1,Norte
1100346,Alvorada D'oeste,11,RO,Rondônia,1,Norte
1100379,Alto Alegre Dos Parecis,11,RO,Rondônia,1,Norte
1100403,Alto Paraíso,11,RO,Rondônia,1,Norte
1100452,Buritis,11,RO,Rondônia,1,Norte
1100502,Novo Horizonte Do Oeste,11,RO,Rondônia,1,Norte
1100601,Cacaulândia,11,RO,Rondônia,1,Norte
1100700,Campo Novo De Rondônia,11,RO,Rondônia,1,Norte
1100809,Candeias Do Jamari,11,RO,Rondônia,1,Norte
1100908,Castanheiras,11,RO,Rondônia,1,Norte
1100924,Chupinguaia,11,RO,Rondônia,1,Norte
1100940,Cujubim,11,RO,Rondônia,1,Norte
1101005,Governador Jorge Teixeira,11,RO,Rondônia,1,Norte
1101104,Itapuã Do Oeste,11,RO,Rondônia,1,Norte
1101203,Ministro Andreazza,11,RO,Rondônia,1,Norte
1101302,Mirante Da Serra,11,RO,Rondônia,1,Norte
1101401,Monte Negro,11,RO,Rondônia,1,Norte
1101435,Nova União,11,RO,Rondônia,1,Norte
1101450,Parecis,11,RO,Rondônia,1,Norte
1101468,Pimenteiras Do Oeste,11,RO,Rondônia,1,Norte
1101476,Primavera De Rondônia,11,RO,Rondônia,1,Norte
1101484,São Felipe D'oeste,11,RO,Rondônia,1,Norte
1101492,São Francisco Do Guaporé,11,RO,Rondônia,1,Norte
1101500,Seringueiras,11,RO,Rondônia,1,Norte
1101559,Teixeirópolis,11,RO,Rondônia,1,Norte
