Data;Índice de Variação de Aluguéis Residenciais (IVAR) - Média Nacional (1463201);Índice de Variação de Aluguéis Residenciais (IVAR) - São Paulo(1463202);Índice de Variação de Aluguéis Residenciais (IVAR) - Rio de Janeiro (1463203);Índice de Variação de Aluguéis Residenciais (IVAR) - Belo Horizonte(1463204);Índice de Variação de Aluguéis Residenciais (IVAR) - Porto Alegre(1463205);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);INCC-Brasil-DI-Todos os itens(1464783);INCC-Brasil-10-Todos os itens(1464331);INCC-Brasil-M-Todos os itens(1465235);INCC-M - Fechamento mensal (%)(1000370);INCC-M - 1º Decêndio (%)(1000379);INCC-M - 2º Decêndio (%)(1000366)
07/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;149,095;147,979;149,224;1,52; - ; - 
08/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;149,445;149,044;150,334;0,74; - ; - 
09/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;149,772;149,305;150,564;0,15; - ; - 
10/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;150,157;149,580;150,915;0,23; - ; - 
11/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;151,035;149,978;151,345;0,29; - ; - 
12/1996; - ; - ; - ; - ; - ; - ; - ; - ; - ;151,922;150,738;152,079;0,49; - ; - 
01/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;152,408;151,771;153,107;0,68; - ; - 
02/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;153,147;152,314;153,588;0,31; - ; - 
03/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;154,260;152,975;154,228;0,42; - ; - 
04/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;154,616;154,014;155,358;0,73; - ; - 
05/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;155,953;154,490;155,823;0,30; - ; - 
06/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;157,687;156,016;157,373;1,00; - ; - 
07/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;158,485;157,515;158,855;0,94; - ; - 
08/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;160,352;158,361;159,724;0,55; - ; - 
09/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;160,780;160,317;161,604;1,18; - ; - 
10/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;161,024;160,710;161,953;0,22; - ; - 
11/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;161,897;161,012;162,317;0,22; - ; - 
12/1997; - ; - ; - ; - ; - ; - ; - ; - ; - ;162,271;161,889;163,165;0,52; - ; - 
01/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;162,805;162,343;163,644;0,29; - ; - 
02/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;163,593;162,813;164,428;0,48; - ; - 
03/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;164,361;163,656;164,935;0,31; - ; - 
04/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;163,535;162,885;164,169;-0,46; - ; - 
05/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;165,133;163,607;164,933;0,47; - ; - 
06/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;165,781;165,165;166,356;0,86; - ; - 
07/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166,345;165,836;167,063;0,42; - ; - 
08/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166,705;166,359;167,554;0,29; - ; - 
09/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166,729;166,551;167,698;0,09; - ; - 
10/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166,738;166,644;167,780;0,05; - ; - 
11/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166,657;166,556;167,662;-0,07; - ; - 
12/1998; - ; - ; - ; - ; - ; - ; - ; - ; - ;166,733;166,537;167,652;-0,01; - ; - 
01/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;167,648;166,746;168,008;0,21; - ; - 
02/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;169,288;167,580;169,054;0,62; - ; - 
03/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;170,221;169,280;170,587;0,91; - ; - 
04/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;171,100;170,354;171,584;0,58; - ; - 
05/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;172,578;171,051;172,233;0,38; - ; - 
06/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;173,279;172,570;173,750;0,88; - ; - 
07/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;174,074;173,140;174,466;0,41; - ; - 
08/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;175,280;174,037;175,370;0,52; - ; - 
09/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;176,785;175,454;176,824;0,83; - ; - 
10/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;178,574;177,007;178,217;0,79; - ; - 
11/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;180,207;179,031;180,382;1,22; - ; - 
12/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;182,084;180,640;181,839;0,81; - ; - 
01/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;184,039;182,675;183,929;1,15; - ; - 
02/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;185,461;184,474;185,572;0,89; - ; - 
03/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;186,492;185,928;187,092;0,82; - ; - 
04/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;187,604;187,272;188,389;0,69; - ; - 
05/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;190,136;188,173;189,463;0,57; - ; - 
06/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;191,527;190,429;191,521;1,09; - ; - 
07/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;192,104;191,991;193,104;0,83; - ; - 
08/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;192,846;192,581;193,786;0,35; - ; - 
09/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;193,342;193,168;194,365;0,30; - ; - 
10/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;193,984;193,650;194,914;0,28; - ; - 
11/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;194,789;194,308;195,488;0,29; - ; - 
12/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;196,037;195,181;196,450;0,49; - ; - 
01/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;197,174;195,831;197,233;0,40; - ; - 
02/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;197,849;197,072;198,325;0,55; - ; - 
03/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;198,388;197,671;198,996;0,34; - ; - 
04/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;199,112;198,189;199,545;0,28; - ; - 
05/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;203,321;200,840;203,530;2,00; - ; - 
06/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;205,682;203,251;204,931;0,69; - ; - 
07/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;206,742;205,534;207,117;1,07; - ; - 
08/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;208,026;206,590;208,272;0,56; - ; - 
09/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;209,174;207,819;209,510;0,59; - ; - 
