Data;Índice de Variação de Aluguéis Residenciais (IVAR) - Média Nacional (1463201);Índice de Variação de Aluguéis Residenciais (IVAR) - São Paulo(1463202);Índice de Variação de Aluguéis Residenciais (IVAR) - Rio de Janeiro (1463203);Índice de Variação de Aluguéis Residenciais (IVAR) - Belo Horizonte(1463204);Índice de Variação de Aluguéis Residenciais (IVAR) - Porto Alegre(1463205);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232)
07/2010; - ; - ; - ; - ; - ; - ;116,000;116,400;116,400
08/2010; - ; - ; - ; - ; - ; - ;112,900;117,200;115,200
09/2010; - ; - ; - ; - ; - ; - ;111,600;114,100;113,000
10/2010; - ; - ; - ; - ; - ; - ;110,200;113,900;112,300
11/2010; - ; - ; - ; - ; - ; - ;109,500;112,700;111,200
12/2010; - ; - ; - ; - ; - ; - ;110,800;111,900;111,400
01/2011; - ; - ; - ; - ; - ; - ;110,300;111,100;110,800
02/2011; - ; - ; - ; - ; - ; - ;111,400;111,300;111,400
03/2011; - ; - ; - ; - ; - ; - ;109,000;110,000;109,600
04/2011; - ; - ; - ; - ; - ; - ;111,500;110,500;111,100
05/2011; - ; - ; - ; - ; - ; - ;113,300;110,000;111,700
06/2011; - ; - ; - ; - ; - ; - ;110,400;109,600;110,100
07/2011; - ; - ; - ; - ; - ; - ;111,000;108,000;109,600
08/2011; - ; - ; - ; - ; - ; - ;107,300;107,100;107,300
09/2011; - ; - ; - ; - ; - ; - ;105,900;102,100;104,000
10/2011; - ; - ; - ; - ; - ; - ;104,700;103,400;104,000
11/2011; - ; - ; - ; - ; - ; - ;103,600;105,100;104,300
12/2011; - ; - ; - ; - ; - ; - ;103,800;104,500;104,200
01/2012; - ; - ; - ; - ; - ; - ;105,800;103,300;104,600
02/2012; - ; - ; - ; - ; - ; - ;106,900;106,100;106,600
03/2012; - ; - ; - ; - ; - ; - ;107,100;103,500;105,400
04/2012; - ; - ; - ; - ; - ; - ;104,600;103,600;104,100
05/2012; - ; - ; - ; - ; - ; - ;104,300;104,900;104,600
06/2012; - ; - ; - ; - ; - ; - ;104,300;103,400;103,800
07/2012; - ; - ; - ; - ; - ; - ;102,900;103,800;103,400
08/2012; - ; - ; - ; - ; - ; - ;103,700;100,900;102,300
09/2012; - ; - ; - ; - ; - ; - ;104,500;103,800;104,100
10/2012; - ; - ; - ; - ; - ; - ;100,700;104,900;102,800
11/2012; - ; - ; - ; - ; - ; - ;102,500;102,100;102,300
12/2012; - ; - ; - ; - ; - ; - ;101,000;102,300;101,600
01/2013; - ; - ; - ; - ; - ; - ;100,700;100,800;100,700
02/2013; - ; - ; - ; - ; - ; - ;99,700;101,300;100,500
03/2013; - ; - ; - ; - ; - ; - ;103,800;98,600;101,200
04/2013; - ; - ; - ; - ; - ;80,30;103,500;97,800;100,600
05/2013; - ; - ; - ; - ; - ;79,30;102,400;98,500;100,400
06/2013; - ; - ; - ; - ; - ;80,80;103,000;97,500;100,300
07/2013; - ; - ; - ; - ; - ;80,70;100,600;97,400;99,000
08/2013; - ; - ; - ; - ; - ;82,00;98,700;96,000;97,200
09/2013; - ; - ; - ; - ; - ;82,90;98,800;100,000;99,400
10/2013; - ; - ; - ; - ; - ;81,60;102,100;98,800;100,400
11/2013; - ; - ; - ; - ; - ;81,50;99,500;98,200;98,900
12/2013; - ; - ; - ; - ; - ;79,80;97,500;99,100;98,300
01/2014; - ; - ; - ; - ; - ;79,40;97,400;98,300;97,800
02/2014; - ; - ; - ; - ; - ;81,10;96,100;97,600;96,700
03/2014; - ; - ; - ; - ; - ;80,60;95,600;97,200;96,300
04/2014; - ; - ; - ; - ; - ;80,90;91,700;93,600;92,600
05/2014; - ; - ; - ; - ; - ;81,30;91,600;97,600;94,600
06/2014; - ; - ; - ; - ; - ;78,60;91,100;95,200;93,100
07/2014; - ; - ; - ; - ; - ;79,50;89,900;93,400;91,600
08/2014; - ; - ; - ; - ; - ;80,40;91,000;93,000;92,000
09/2014; - ; - ; - ; - ; - ;79,30;88,800;92,300;90,500
10/2014; - ; - ; - ; - ; - ;78,70;87,400;88,800;88,000
11/2014; - ; - ; - ; - ; - ;78,00;86,200;89,100;87,500
12/2014; - ; - ; - ; - ; - ;78,40;86,300;91,000;88,500
01/2015; - ; - ; - ; - ; - ;76,00;83,800;85,300;84,500
02/2015; - ; - ; - ; - ; - ;75,10;80,000;81,400;80,500
03/2015; - ; - ; - ; - ; - ;73,10;76,300;77,500;76,700
04/2015; - ; - ; - ; - ; - ;71,70;79,100;75,500;77,100
05/2015; - ; - ; - ; - ; - ;70,60;76,200;73,800;74,700
06/2015; - ; - ; - ; - ; - ;70,40;79,700;74,200;76,700
07/2015; - ; - ; - ; - ; - ;69,40;74,900;71,700;73,000
08/2015; - ; - ; - ; - ; - ;68,00;76,300;70,000;72,800
09/2015; - ; - ; - ; - ; - ;66,90;73,100;68,500;70,500
10/2015; - ; - ; - ; - ; - ;65,90;72,400;65,900;68,900
11/2015; - ; - ; - ; - ; - ;68,80;74,200;67,000;70,300
12/2015; - ; - ; - ; - ; - ;67,90;71,700;68,100;69,600
01/2016; - ; - ; - ; - ; - ;67,50;69,100;65,500;66,900
02/2016; - ; - ; - ; - ; - ;67,00;72,200;63,700;67,600
03/2016; - ; - ; - ; - ; - ;65,70;72,200;62,800;67,100
04/2016; - ; - ; - ; - ; - ;63,20;72,000;62,500;66,900
05/2016; - ; - ; - ; - ; - ;63,70;77,100;61,000;68,800
06/2016; - ; - ; - ; - ; - ;63,60;76,600;61,800;68,900
07/2016; - ; - ; - ; - ; - ;64,40;79,100;62,700;70,600
08/2016; - ; - ; - ; - ; - ;64,50;82,100;64,200;72,900
09/2016; - ; - ; - ; - ; - ;64,80;84,500;64,700;74,300
10/2016; - ; - ; - ; - ; - ;64,90;84,900;64,500;74,400
11/2016; - ; - ; - ; - ; - ;64,20;82,500;63,900;72,900
12/2016; - ; - ; - ; - ; - ;63,10;80,100;63,800;71,700
01/2017; - ; - ; - ; - ; - ;63,80;83,100;65,300;73,900
02/2017; - ; - ; - ; - ; - ;63,40;85,400;63,000;73,900
03/2017; - ; - ; - ; - ; - ;63,00;87,100;62,800;74,700
04/2017; - ; - ; - ; - ; - ;62,80;87,100;65,700;76,200
05/2017; - ; - ; - ; - ; - ;62,10;85,100;63,700;74,100
06/2017; - ; - ; - ; - ; - ;61,50;85,800;63,900;74,600
07/2017; - ; - ; - ; - ; - ;61,80;85,500;64,400;74,700
08/2017; - ; - ; - ; - ; - ;62,10;88,200;65,100;76,500
09/2017; - ; - ; - ; - ; - ;65,60;89,700;66,200;77,800
10/2017; - ; - ; - ; - ; - ;65,40;90,600;66,200;78,200
11/2017; - ; - ; - ; - ; - ;63,80;89,500;69,200;79,100
12/2017; - ; - ; - ; - ; - ;64,00;92,000;70,100;80,800
01/2018; - ; - ; - ; - ; - ;66,20;94,200;69,900;81,800
02/2018; - ; - ; - ; - ; - ;65,50;91,200;70,500;80,600
03/2018; - ; - ; - ; - ; - ;65,00;92,400;71,400;81,700
04/2018; - ; - ; - ; - ; - ;65,00;92,800;71,700;82,000
05/2018; - ; - ; - ; - ; - ;64,70;94,600;70,500;82,300
06/2018; - ; - ; - ; - ; - ;65,60;89,000;70,800;79,700
07/2018; - ; - ; - ; - ; - ;65,50;91,500;71,400;81,300
08/2018; - ; - ; - ; - ; - ;65,00;88,000;71,700;79,600
09/2018; - ; - ; - ; - ; - ;66,40;89,800;72,400;80,900
10/2018; - ; - ; - ; - ; - ;66,00;92,400;73,000;82,500
11/2018; - ; - ; - ; - ; - ;64,70;96,800;74,100;85,300
12/2018;100,000;100,000;100,000;100,000;100,000;66,60;96,100;74,700;85,200
01/2019;99,852;99,731;100,831;100,590;98,618;66,70;94,200;75,100;84,500
02/2019;100,043;100,482;100,794;100,279;98,456;67,00;94,400;74,400;84,300
03/2019;99,705;100,414;100,231;99,529;98,154;65,30;92,600;72,000;82,100
04/2019;99,062;100,296;99,800;97,362;97,262;66,20;92,500;73,000;82,500
05/2019;99,063;100,648;99,912;96,460;97,069;66,30;89,400;72,400;80,700
06/2019;99,901;101,605;100,734;97,406;97,686;68,30;92,900;73,600;83,100
07/2019;101,081;102,493;101,095;100,125;99,400;68,90;96,500;75,100;85,600
08/2019;101,345;102,566;100,932;101,805;99,687;69,60;98,000;77,600;87,600
09/2019;100,532;101,788;99,660;101,111;99,247;69,40;97,900;77,600;87,600
10/2019;98,767;99,970;98,062;99,071;97,527;70,10;97,900;78,900;88,200
11/2019;96,188;97,379;95,288;95,538;95,662;70,50;97,900;81,300;89,400
12/2019;94,923;96,268;94,621;94,379;93,470;71,90;101,800;82,600;92,100
01/2020;95,200;96,313;94,264;93,517;92,722;70,90;104,200;84,300;94,200
02/2020;97,868;100,312;96,908;95,730;93,379;70,60;99,000;86,700;92,800
03/2020;96,872;99,927;95,977;92,898;92,425;69,60;95,500;86,300;90,800
04/2020;95,773;99,572;95,368;90,340;90,683;57,60;59,900;70,900;65,000
05/2020;92,858;96,518;92,725;87,157;88,067;61,70;69,700;66,800;68,000
